Tweet,Sentiment,Opinionated
Fighting poverty and global warming in Africa [link],Negative,No
Carbon offsets: How a Vatican forest failed to reduce global warming [link],Negative,No
Carbon offsets: How a Vatican forest failed to reduce global warming [link],Negative,No
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link],Negative,No
RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link],Negative,No
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link],Negative,No
Migratory Birds' New Climate Change Strategy: Stay Home [link],Negative,No
Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... [link],Negative,No
"Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link]",Negative,No
How do we solve this global warming thing? [link],Negative,No
Blog|A preliminary analysis suggests that natural gas could contribute far more to global warming than previously .. [link],Negative,No
Ecotone: #Climate change from a #population perspective [link],Negative,No
Climate change blamed as coastal whale migration dwindles •À_ Ventura County.. [link],Negative,No
Spring storm season starting a little late this year???  Must be global warming!,Negative,No
"Government Report Says Global Warming May Cause Cancer, Mental Illness.  CNSNews.com -  [link]",Negative,No
For #EarthDay Global warming could affect patient symptoms [link],Negative,No
"Wait here's an idea: it's natural climate change, not human induced global warming. [link]",Negative,No
EPA issues report on U.S. climate change indicators - warming is having measurable effect across ecosystems [link],Negative,No
QUT researchers track climate change [link],Negative,No
"Global Warming: Ocean chemistry is changing faster than it has in 800,000 years: And that's because of the carbon ... [link]",Negative,No
"Topography of Mountains Could Complicate Rates of Global Warming: ScienceDaily (Apr. 25, 2010) •À_ A new study concl... [link]",Negative,No
"Soaring mercury; Blame it on global warming|Agartala, Apr 14 : Environmentalists have attributed the .. [link]",Negative,No
"RT @WGofNYC Leader of National Indigenous Women's Org, ""Climate Change is Not Just abt the Climate, its abt R Lives"" bit.ly/9GdzRw",Negative,No
@GregMitch has there been any reporting on if the increase in sediment in upper atmospher could reduce global warming effect by reducing sun,Negative,No
effects of global warming •À_ YouTube •À_ Effects of Global Warming Stats: Back with more news for you today. It's ama... [link],Negative,No
It's global climate change-not warming. #ac Read: www.associatedcontent.com/article/2872954/global_climate_change_not_global_warming.html,Negative,No
A preliminary analysis suggests that natural gas could contribute far more to global warming than previously thought. [link],Negative,No
SCIENCE: Scientists explore the evolution of climate change [link],Negative,No
"Eaarth: global warming is here to stay, how will we deal with it? [link]",Negative,No
Allergies Worse Than Ever? Blame Global Warming [link],Negative,No
@New_federalists  i have it on good auth tht global warming also causes toe fungus.  We R all fortunate tht thr IS no global warming! #tcot,Negative,No
Illegal war and the myth of global warming|My main campaign platform for this election will be the illegal .. [link],Negative,No
the scientific community was scamed by global green  gov warming scam.,Negative,No
I truly  Fat ASS Gore should get the Scam Artist Award of the decade with his Global Warming and Energy Credits worth close to Billion.,Negative,No
40 degrees in NYC. please urinate on next liberal global warming /climate change scum you see.,Negative,No
"RT @virgiltexas: Hey Al Gore: see these tornadoes racing across Mississippi? So much for global ""warming"" #tornadocot #ocra #sgp #gop #ucot #tlot #p2 #tycot",Negative,No
#justinbiebersucks and global warming is a farce,Negative,No
"One Stop Book Stop Confirmed! Global warming is 'settled' •À_ as a scam: WND.com Sussman's book, the ... [link]",Negative,No
"Rationalists' who believe aliens exist & global warming=caused by humans, might as well believe in Jesus miracles,angels &fairies #tcot #p2",Negative,No
Air ban led by flawed computer models. Global warming come to mind? [link],Negative,No
Proof there's no climate change. RT @jazgar 75-ft killer tsunami created in a Peruvian LAKE when a glacier fractures & falls Into the lake!,Negative,No
@OTOOLEFAN REAL science. Not Algore's climate change 'science' hacks with their man-made global warming hoax. Gore=Palin,Negative,No
"30000 Anti-Global Warming Scientists Can't Be Wrong | Stranger ...: Nature Magazine, the academic journal that int... [link]",Negative,No
"Global Warming Baloney: According to the experts at NASA, the difference between weather and climate is a measure ... [link]",Negative,No
computer forensics experts: are there still any idiots out there that belive global warming is true? [link],Negative,No
Liberal Looney Toons: Global Warming Alarmist Comes Home With Artic Frost Bite: Gather.com they wont learn huh? lo... [link],Negative,No
"Despite Climategate, LEFT investing heavily in global warming hysteria as new way 2 impose nat'l & international controls on human freedom.",Negative,No
Global warming you tube explanation you will enjoy #IPCC #teaparty [link],Negative,No
Immigration Reform and Climate Change: A Tale of Two Issues in the Senate [link],Negative,No
"Memo On The White House Correspondents Dinner: If You Want To Be Green, Report On Climate Change: I'd never be on... [link]",Negative,No
Views on Global Warming Vary in Three Countries|(Angus Reid Global Monitor) - People in three countries hold .. [link],Negative,No
"SCENARIOS-Challenges to California climate change law: Source: Reuters By Peter Henderson SAN FRANCISCO, April 26 ... [link]",Negative,No
"The Climate of Lindsay Graham's Support for Climate Change Legislation Has Changed: Today Lindsey Graham,... [link]",Negative,No
"Arizona's immigration law, climate change legislation stalling--Which issue should Congress focus on now? Poll: [link]",Negative,Yes
Graham's exit from talks puts climate change bill in limbo: A climate-change bill that was scheduled to be unveile... [link],Negative,No
US Climate change bill stalls in Senate [link],Negative,No
"Peoples World: GRAND RAPIDS, Mich. - Opponents of climate change legislation typically argue that regulating globa... [link]",Negative,Yes
"cnnbrk: Sen. Graham's move imperils Dems' push for immigration, climate change bills. [link]",Negative,No
"Cafe Scientifique presents global warming talk, film|The April Cafe Scientifique presentation will be on the .. [link]",Negative,No
Check this video out -- The Business of Climate Change Conference 2009 [link],Negative,No
"Brilliant Tips For Valentine's Day : A Screaming •À_O•À_: ... Climate Change, clinical trials collagen, clinique, clip... [link]",Positive,Yes
"USA: Climate Change Policy Update - April 12, 2010  [link]",Negative,No
-- Press Releases April 2010 - Climate change negotiators agree on intensified .. [link],Negative,No
@SooperMexican Global warming. Clearly.,Negative,No
PostPartisan - Harry Reid's hapless play on immigration and climate change: [link],Negative,Yes
Foes of California's global warming law pour money into a campaign to delay it [link],Negative,No
"Earth Day Live Chat with Carol Browner, Director of the Office of Energy and Climate Change Policy for the Obama Admin  [link]",Negative,No
"Klein: ""A '50-50' chance that the Senate passes a climate change bill this year?"" [link]",Negative,No
@andychrism Yes. I have heard at least one person make the connection between the volcano and global warming.,Negative,No
RT @redostoneage: NASAs changing Facts; Guess they thought you wouldnt notice #global warming #climate change #eco [link],Negative,No
A religious spin on climate change.[link],Negative,No
Environmental Groups Praise BASIC Meeting on Climate Change: Environmental groups are giving qualified praise to a... [link],Negative,No
"Only a Third of Americans Believe Global Warming is Human-Caused: By Bob Ellis on April 26th, 2010 Good news! What... [link]",Negative,No
Global Warming of the Heart: Earth Day is over. Or is it? Thousands -- perhaps millions -- of conscious actions t... [link],Negative,No
"In climate data, that ""suggests"" global warming, and then the assumption that it is our doing. [link]",Negative,No
"Global Warming : Fiction or fact?: Deniers claim either that there is no global warming, or that it is not due to ... [link]",Negative,No
RT @TheBCast: The B-Cast Interview: Minnesotans for Global Warming' Fight YouTube Takedowns [link],Negative,No
Opponents ramp up effort to delay Calif. global warming law [link],Negative,No
How many are aware of the World People's Conference On Climate Change and Earth Rights in Bolivia #EarthWeek #Indigenous #1stNations,Negative,No
Sorry I won't be able to accept the invitation to be a panelist at Bolivia Climate Change Talks [link],Negative,Yes
RT @GClugo: RT @guardianscience Climate scientist sues newspaper for 'poisoning' global warming debate [link],Negative,No
RT @ sharifkouddous Indigenous groups from across Bolivia arriving at World People's conference on climate change [link],Negative,No
Recycling Water; Meat and Global Warming; Peanuts; Rare Grapes ... [link],Negative,No
Great article  [link],Positive,Yes
Cuccinelli files motion to force EPA to reopen global warming finding: Virginia Attorney General Ken Cuccinelli ha... [link],Negative,No
"Don Blankenship: Mine Safety Regulators ""As Silly as Global Warming"" [link]",Negative,No
"Bring Back The Hair That You Once Had With Nanogen's Nanofibers ...: ... Climate Change, clinical trials collagen,... [link]",Negative,No
"Street-corner Global-warming Counsel: Urgh, certain elements of this item in Sunday's Washington Post, •À_Five Myths... [link]",Negative,Yes
A religious take on climate change [link],Negative,No
Are you ready for the climate change? PLI is with Environmental Regulation & Commercial Implications 2010: How the... [link],Negative,No
LIVE TONIGHT: Fellow Heather Rogers joins Climate Change Expert James Hansen to discuss REAL solutions to Climate... [link],Negative,No
Plan B: California Braces for Climate Change. [link],Negative,No
"Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. [link]",Negative,No
"@angiemartinez & it's about 2 be 86 degrees out here in NYC, shiiiiiitttt, fuck glodman/sachs, Obama better get a plan 4 this global warming",Negative,No
"Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. [link]",Negative,No
Climate change & sustainability will be a key driver of future economic development. Listen at [link],Negative,No
Frederic Hague at #PEN: climate change isn't just a alarm bell. It's a whole blinking discotech,Negative,No
US Generals say: Climate Change Threatens America's Security: The Pentagon has made it well known that it consider... [link],Negative,No
Even the generals know climate change is going to screw us. [link],Negative,No
"Government Report Says Global Warming May Cause Cancer, Mental Illness [link]",Negative,No
"RT @disturbedwater: Climate change increases heat waves, floods: EPA [link]",Negative,No
RT @sciencedaily: Plants remain an effective way of tackling global warming [link],Negative,No
"So far in that class I have gotten into ""heated discussion"" with global climate change denier and w/ student that nothing is ""their fault.""",Negative,No
RT @Newsweek: Global Warming Kills Forests In Colorado [link],Negative,No
EPA Confirms Climate IS Changing: In another display of the sea change that has occurred at the US Environmental P... [link],Negative,No
"Must See Places Before They Disappear! : Europe...[PICS]: If Global Warming Predictions prove to be true, the foll... [link]",Negative,No
RT @quixotecenter: Combating climate change: lessons from the world•À_s indigenous peoples [link],Negative,No
@chrisdodd: I live in CT. Please support the climate bill and strong action on climate change!,Negative,No
RT @nicnunes: RT @EPSclimate: Indigenous tradition used to fight climate change [link],Negative,No
"RT @danlatorre: James Hansen/Heather Rogers, Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 [link]",Negative,No
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",Negative,Yes
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",Negative,Yes
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",Negative,Yes
"Climate change melts two glaciers|BILLINGS, Mont. ? Glacier National Park has lost two more of its namesake .. [link]",Negative,No
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",Negative,Yes
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",Negative,Yes
CLIMATE CHANGE: Forests Not for Absorbing Carbon [link],Negative,Yes
"RT @danielsaudade: What beautiful fall weather this morning, New York! Thanks climate change! Bleh!",Negative,Yes
"What beautiful fall weather this morning, New York! Thanks climate change! Bleh!",Negative,Yes
"Climate Change Threatens Japan's Cherry Blossoms | Environment ...: If you aren't familiar with the culture, Japan... [link]",Negative,No
Wed @sciam podcast: Mountain Vs. Valley Temps Stretch Apart With Climate Change [link],Negative,No
Mountain Vs. Valley Temps Stretch Apart With Climate Change [link],Negative,No
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",Negative,Yes
"Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link]",Negative,No
Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link],Negative,No
Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link],Negative,No
